Angle,Torque
163.0,12.558319622188261
164.0,11.980073523748896
165.0,11.404014609617215
166.0,10.829114951640829
167.0,10.25930920292626
168.0,9.698304921968605
169.0,9.146390790278204
170.0,8.600436612380637
171.0,8.059648032797874
172.0,7.525017690094764
173.0,6.997433486602056
174.0,6.482004666017228
175.0,5.981239937484314
176.0,5.495200004530012
177.0,5.023872069582455
178.0,4.567358535867092
179.0,4.125147885569245
180.0,3.695417676504494
181.0,3.2792543205961016
182.0,2.8743323291580247
183.0,2.4791198215134647
184.0,2.0948141520758856
185.0,1.723653129176167
186.0,1.3682931663231084
187.0,1.030337719993639
188.0,0.7094695916102162
189.0,0.40525092301070664
190.0,0.11411651453033893
191.0,-0.16904727173888057
192.0,-0.444477700514159
193.0,-0.7125388797028106
194.0,-0.973727536297519
195.0,-1.226398332918049
196.0,-1.4682884776551846
197.0,-1.6958105053341765
198.0,-1.9084454008017935
199.0,-2.109523885025668
200.0,-2.3032578540849866
201.0,-2.491819407008039
202.0,-2.6774396249065155
203.0,-2.866611452127967
204.0,-3.053717773901956
205.0,-3.2379061133886906
206.0,-3.4193785363201235
207.0,-3.598368117058076
208.0,-3.7721347255882773
209.0,-3.94024215724018
210.0,-4.103330041450465
211.0,-4.262355251534496
212.0,-4.4182988969171735
213.0,-4.572133910167754
214.0,-4.728166006024962
215.0,-4.888649527735531
216.0,-5.053239054112115
217.0,-5.221626061745353
218.0,-5.393597748533274
219.0,-5.56435468527023
220.0,-5.7344795125596315
221.0,-5.9009455706809915
222.0,-6.062077283743573
223.0,-6.217749937710816
224.0,-6.368255611678514
225.0,-6.516898321592665
226.0,-6.665877800176548
227.0,-6.815895286416324
228.0,-6.967677387936175
229.0,-7.122381186436704
230.0,-7.284095925162379
231.0,-7.448688373462452
232.0,-7.614510453237754
233.0,-7.7799541778974275
234.0,-7.943542888853504
235.0,-8.104161453260396
236.0,-8.261577725429637
237.0,-8.416180615642324
238.0,-8.56840025821633
239.0,-8.718734648576248
240.0,-8.867664182654025
241.0,-9.012177467213128
242.0,-9.151500622890493
243.0,-9.286886180887274
244.0,-9.41711658248187
245.0,-9.540979342680288
246.0,-9.657293687286053
247.0,-9.76491055290022
248.0,-9.866991098325936
249.0,-9.963823801218412
250.0,-10.054867743323554
251.0,-10.140643887743582
252.0,-10.221730277016274
253.0,-10.298762033114937
254.0,-10.367310108949043
255.0,-10.427142993046077
256.0,-10.479361231284768
257.0,-10.524127500056428
258.0,-10.560922535051558
259.0,-10.59295907042042
260.0,-10.621189041654198
261.0,-10.646046093909062
262.0,-10.668031597544475
263.0,-10.689206324038848
264.0,-10.710269247321369
265.0,-10.727594758657977
266.0,-10.737394731477293
267.0,-10.738762916487147
268.0,-10.730824775192895
269.0,-10.712737479897417
270.0,-10.68888849124535
271.0,-10.659990169652566
272.0,-10.626563817979822
273.0,-10.589167863371562
274.0,-10.54848909375051
275.0,-10.504771002740519
276.0,-10.458593127816966
277.0,-10.410674375410345
278.0,-10.363003103127848
279.0,-10.31635543273894
280.0,-10.27100015855379
281.0,-10.219878819452115
282.0,-10.162318240503556
283.0,-10.09729135427737
284.0,-10.022408548324801
285.0,-9.937463657160789
286.0,-9.843924211193725
287.0,-9.745334571564293
288.0,-9.642477088948606
289.0,-9.53736766404657
290.0,-9.432094588778732
291.0,-9.327042062107687
292.0,-9.222566807855042
293.0,-9.1171653944595
294.0,-9.008064327617669
295.0,-8.894133706312545
296.0,-8.775361525742206
297.0,-8.651751636503494
298.0,-8.523323744592014
299.0,-8.390086774332215
300.0,-8.253388434618975
301.0,-8.115466964143994
302.0,-7.978078438922589
303.0,-7.841280504654543
304.0,-7.705182676844176
305.0,-7.5699463408003265
306.0,-7.435784751636363
307.0,-7.301412987836506
308.0,-7.165646515209722
309.0,-7.028501959274143
310.0,-6.890086479874839
311.0,-6.750506534689219
312.0,-6.610459670660592
313.0,-6.470558608348877
314.0,-6.3289614940314545
315.0,-6.184892908106522
316.0,-6.037975718589209
317.0,-5.887858162132668
318.0,-5.734187206958146
319.0,-5.576694013454332
320.0,-5.415102697682744
321.0,-5.249778590681457
322.0,-5.0806430043714625
323.0,-4.907727060635482
324.0,-4.734106208521054
325.0,-4.559062062560787
326.0,-4.381965956193715
327.0,-4.20224652880012
328.0,-4.019389725701524
329.0,-3.8315450406577005
330.0,-3.6378928628054306
331.0,-3.437819837368845
332.0,-3.230700219710464
333.0,-3.015987111825805
334.0,-2.797451810912991
335.0,-2.576197814974998
336.0,-2.3515943660482614
337.0,-2.118832272531614
338.0,-1.879947956541071
339.0,-1.6351031657945885
340.0,-1.3830447575256255
341.0,-1.1219366312562546
342.0,-0.8514815888619434
343.0,-0.5714676210106573
344.0,-0.2861039736649319
345.0,0.005130406879733177
346.0,0.301977870393435
347.0,0.6050173654367296
348.0,0.9147263660180884
349.0,1.231081315545063
350.0,1.5530757133041604
351.0,1.881266332948239
352.0,2.2172015674193792
353.0,2.5631395426094485
354.0,2.92012358905821
355.0,3.2923906770254656
356.0,3.6796160879445425
357.0,4.081445227147386
358.0,4.497428797934183
359,4.9265248287993515
360,5.365748835383109
